startip,endip,country,carrier
20854528,20877823,黑龙江省哈尔滨市,联通
20877824,20878335,黑龙江省哈尔滨市双城区,联通
20878336,20878847,黑龙江省哈尔滨市,联通
20878848,20879359,黑龙江省哈尔滨市双城区,联通
20879360,20883967,黑龙江省哈尔滨市,联通
20883968,20884223,黑龙江省哈尔滨市双城区,联通
20884224,20899583,黑龙江省哈尔滨市,联通
20899584,20899839,黑龙江省哈尔滨市双城区,联通
20899840,20905983,黑龙江省哈尔滨市,联通
20905984,20907519,黑龙江省鸡西市,联通
20907520,20907775,黑龙江省鸡西市虎林市,联通
20907776,20909055,黑龙江省鸡西市,联通
20909056,20909311,黑龙江省鸡西市虎林市,联通
20909312,20922367,黑龙江省鸡西市,联通
20922368,20922623,黑龙江省大兴安岭地区漠河县,联通
20922624,20927999,黑龙江省大兴安岭地区,联通
20928000,20930559,黑龙江省,联通
20930560,20938239,黑龙江省大庆市,联通
20938240,20938495,黑龙江省大庆市肇州县,联通
20938496,20938751,黑龙江省大庆市,联通
20938752,20939007,黑龙江省绥化市,联通
20939008,20939263,黑龙江省绥化市绥棱县,联通
20939264,20942591,黑龙江省绥化市,联通
20942592,20942847,黑龙江省绥化市海伦市,联通
20942848,20950271,黑龙江省绥化市,联通
20950272,20950527,黑龙江省绥化市海伦市,联通
20950528,20955135,黑龙江省绥化市,联通
20955136,20964863,黑龙江省伊春市,联通
20964864,20965119,黑龙江省伊春市铁力市,联通
20965120,20971519,黑龙江省伊春市,联通
20971520,21102591,香港,电讯盈科有限公司
21102592,21233663,日本,CZ88.NET
21233664,21495807,山西省,电信
21495808,22020095,日本,CZ88.NET
22020096,22060031,陕西省西安市,电信
22060032,22060287,陕西省西安市临潼区,电信
22060288,22085631,陕西省西安市,电信
22085632,22107903,陕西省渭南市,电信
22107904,22108159,陕西省渭南市合阳县,电信
22108160,22111999,陕西省渭南市,电信
22112000,22112255,陕西省渭南市华阴市,电信
22112256,22118399,陕西省渭南市,电信
